raceId,driverId,stop,lap,time,duration
841,153,1,1,17:05:23,26898
841,30,1,1,17:05:52,25021
841,17,1,11,17:20:48,23426
841,4,1,12,17:22:34,23251
841,13,1,13,17:24:10,23842
841,22,1,13,17:24:29,23643
841,20,1,14,17:25:17,22603
841,814,1,14,17:26:03,24863
841,816,1,14,17:26:50,25259
841,67,1,15,17:27:34,25342
841,2,1,15,17:27:41,22994
841,1,1,16,17:28:24,23227
841,808,1,16,17:28:39,24535
841,3,1,16,17:29:00,23716
841,155,1,16,17:29:06,24064
841,16,1,16,17:29:08,25978
841,15,1,16,17:29:49,24899
841,18,1,17,17:30:24,16867
841,153,2,17,17:31:06,24463
841,5,1,17,17:31:11,24865
841,30,2,17,17:32:08,23988
841,10,1,18,17:33:02,23792
841,18,2,19,17:33:53,23303
841,815,1,23,17:40:27,23438
841,22,2,23,17:40:45,37856
841,17,2,26,17:44:29,22520
841,4,2,27,17:46:04,24733
841,22,3,28,17:49:07,16892
841,67,2,29,17:49:47,23100
841,2,2,30,17:51:32,25098
841,13,2,31,17:52:28,24500
841,155,2,32,17:54:21,24192
841,20,2,36,17:59:17,24036
841,1,2,36,17:59:29,23199
841,153,3,35,17:59:45,26348
841,808,2,36,17:59:47,25683
841,814,2,36,18:00:48,24332
841,18,3,37,18:01:49,22681
841,16,2,37,18:02:15,23871
841,15,2,37,18:03:55,24848
841,816,2,38,18:06:53,26446
841,17,3,41,18:07:37,26230
841,22,4,40,18:08:03,26309
841,4,3,42,18:09:08,24181
841,13,3,48,18:18:54,24095
842,16,1,3,16:09:07,31694
842,22,1,3,16:10:04,32978
842,17,1,10,16:21:21,22572
842,814,1,11,16:23:16,22773
842,1,1,12,16:24:40,22552
842,20,1,13,16:26:17,23019
842,2,1,13,16:26:28,23900
842,18,1,13,16:26:29,22400
842,13,1,13,16:26:30,29224
842,15,1,13,16:27:03,25516
842,4,1,14,16:28:15,23152
842,30,1,14,16:28:34,22576
842,808,1,15,16:30:10,23182
842,67,1,15,16:30:23,23280
842,3,1,15,16:30:37,24967
842,5,1,15,16:30:37,29084
842,153,1,16,16:32:25,23584
842,16,2,16,16:32:31,22046
842,155,1,17,16:33:53,23280
842,815,1,17,16:34:14,23597
842,10,1,17,16:34:28,24617
842,816,1,17,16:34:39,26252
842,24,1,17,16:34:56,27815
842,22,2,17,16:35:41,24502
